0001,2,knob,0002,3,hole,64.59842561246751
0001,3,knob,0002,3,hole,1.5238742835763912
0001,2,knob,0004,3,hole,53.6127832074332
0001,3,knob,0004,3,hole,6.808355009941094
0003,0,hole,0005,1,knob,23.24806415887724
0003,1,knob,0005,0,hole,5.9862727054293625
0003,1,knob,0005,2,hole,21.782154848537502
0003,3,hole,0005,1,knob,22.7934472279007
0001,2,knob,0006,0,hole,14.900882671672509
0001,3,knob,0006,0,hole,30.62505644642015
0001,2,knob,0005,0,hole,37.08094446300213
0001,2,knob,0005,2,hole,8.095844139289333
0001,3,knob,0005,0,hole,3.743629708801159
0001,3,knob,0005,2,hole,21.201156190862108
0001,2,knob,0003,0,hole,55.95327628636733
0001,2,knob,0003,3,hole,63.153980542895006
0001,3,knob,0003,0,hole,5.107631920677514
0001,3,knob,0003,3,hole,8.298992291602799
0003,0,hole,0002,0,knob,42.33157152470737
0003,0,hole,0002,1,knob,4.7942384248280705
0003,1,knob,0002,3,hole,6.968387295802434
0003,3,hole,0002,0,knob,38.32859397093986
0003,3,hole,0002,1,knob,2.9385095331605395
0003,0,hole,0006,1,knob,9.497575265030529
0003,0,hole,0006,3,knob,20.32458244494046
0003,1,knob,0006,0,hole,29.9367565302255
0003,3,hole,0006,1,knob,5.626781480206255
0003,3,hole,0006,3,knob,24.350134493506907
0002,0,knob,0005,0,hole,38.75207241684865
0002,0,knob,0005,2,hole,44.98672522395152
0002,1,knob,0005,0,hole,5.264316357799696
0002,1,knob,0005,2,hole,23.704102307331425
0002,3,hole,0005,1,knob,22.862541776094655
0002,0,knob,0004,3,hole,33.968571509306244
0002,1,knob,0004,3,hole,5.8581289628754325
0002,3,hole,0004,0,knob,36.3771715513134
0002,3,hole,0004,1,knob,3.252410681719006
0003,0,hole,0004,0,knob,35.53769396831922
0003,0,hole,0004,1,knob,4.825933536645607
0003,1,knob,0004,3,hole,1.814340388897653
0003,3,hole,0004,0,knob,42.25542195210722
0003,3,hole,0004,1,knob,8.084288113272462
0002,0,knob,0006,0,hole,42.88612800163768
0002,1,knob,0006,0,hole,35.61309009909403
0002,3,hole,0006,1,knob,5.784000151497678
0002,3,hole,0006,3,knob,20.760764924816314
0005,0,hole,0006,1,knob,7.555558807628099
0005,0,hole,0006,3,knob,29.738837032916535
0005,1,knob,0006,0,hole,29.06569653016234
0005,2,hole,0006,1,knob,25.270459613076937
0005,2,hole,0006,3,knob,2.3686425150984314
0006,0,hole,0004,0,knob,11.525914870621449
0006,0,hole,0004,1,knob,30.961078165399453
0006,1,knob,0004,3,hole,8.367484433098314
0006,3,knob,0004,3,hole,20.650214090201132
0005,0,hole,0004,0,knob,26.534582962472754
0005,0,hole,0004,1,knob,2.3302638280776238
0005,1,knob,0004,3,hole,19.652380945353674
0005,2,hole,0004,0,knob,11.685436284206958
0005,2,hole,0004,1,knob,22.257688893097257
